x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,label
-10.047.849.166.855.100,-11.177.175.674.693.600,-12.428.327.904.353.500,7.832.197.713.514.600,5.421.112.755.279.730,6.906.941.063.683.440,21.931.297.597.733.100,5.168.129.909.616.940,-12.460.759.687.532.600,-3.917.215.244.906.620,1
-24.479.693.902.572.900,-6.028.779.860.754.200,4.989.498.818.597.260,-13.113.495.877.484.500,-10.059.154.131.884.700,-1.135.190.872.257.760,-12.977.791.158.778.400,-11.193.434.095.772.100,-9.548.496.159.096.210,-12.238.550.723.555.800,-1
756.918.955.467.252,-11.848.215.636.492.200,-40.883.388.116.760.100,-8.052.777.556.836.290,8.209.473.734.155.330,16.080.405.486.202.900,5.894.015.918.682.510,19.026.996.784.950.100,-2.108.956.832.760.210,-5.567.107.144.976.440,1
420.151.156.332.892,-16.381.527.649.472.200,19.095.340.167.924.200,576.446.199.021.038,6.619.910.265.954.910,7.736.863.941.749.420,-5.854.511.438.000.850,-10.957.485.174.263.900,9.301.606.659.820.150,1.141.293.634.284.480,1
-6.542.753.857.948.120,-7.252.226.649.975.570,-1.100.198.481.363.080,6.202.682.155.889.610,6.324.028.158.250.700,15.288.449.352.831.700,-4.931.587.967.626.650,-9.186.012.195.773.620,-13.616.467.976.511.300,2.178.665.322.610.230,1
2.872.910.222.838.780,16.063.002.136.101.700,13.816.625.491.962.300,-19.845.986.243.671.200,30.503.216.359.703.100,-5.820.339.748.800.280,17.455.645.146.357.800,-5.978.708.205.819.030,1.622.258.192.084.080,-4.059.018.603.789.630,-1
5.418.091.925.335.480,3.508.274.760.496.100,9.459.238.213.703.800,-14.634.609.032.292.900,-10.266.718.437.536.500,-42.116.238.498.010.600,-6.814.725.536.314.860,-9.084.253.476.338.950,-9.924.608.485.320.830,6.994.618.418.915.400,1
3.161.453.263.148.890,939.214.765.415.683,1.752.810.780.779.120,-9.328.358.117.043.800,9.092.162.811.600.580,23.448.268.267.261.400,-28.876.731.357.377.800,-4.290.836.450.165.490,12.454.736.756.546.700,-11.103.497.685.879.100,-1
-4.588.402.913.384.880,21.185.621.939.180.400,2.764.969.181.156.700,-13.667.762.910.646.500,-1.647.621.627.773.610,6.593.010.916.903.180,16.459.419.702.096.800,8.023.646.969.649.720,-11.657.636.631.232.600,-958.048.725.412.354,-1
-8.246.051.232.398.270,32.596.715.762.862.300,-5.335.586.581.233.130,-8.364.091.090.098.030,-537.975.971.574.542,5.611.833.490.080.550,-17.430.977.638.227.000,15.949.916.873.791.600,-7.498.750.824.745.730,-14.097.918.445.197.200,-1
1.223.907.302.480.350,-18.544.489.311.966.700,11.698.093.859.584.200,4.614.905.146.790.770,39.342.453.926.591.800,-47.821.219.950.850.100,-3.740.572.297.917.150,-873.728.063.408.178,23.859.382.019.161.400,-8.252.921.414.057.030,-1
-12.759.346.760.865.000,8.446.500.834.776.100,-8.495.259.468.814.820,310.414.944.226.582,-37.061.677.429.236.700,-12.586.934.406.443.200,11.469.412.271.256.500,-6.675.194.612.581.650,17.175.358.968.814.400,-9.577.233.871.437.380,-1
3.737.345.434.738.040,-936.278.000.174.152,-1.019.128.267.628.110,328.635.751.987.096,1.309.477.556.916.220,-2.201.371.858.987.590,6.627.116.360.333.050,8.215.966.080.882.460,9.005.369.943.323.060,12.601.597.286.100.000,1
-1.994.131.763.730.100,-5.003.370.721.237.620,6.794.993.085.329.900,6.242.769.916.207.800,-9.996.730.084.026.080,18.279.369.639.211.600,23.616.983.793.066.000,-40.181.142.335.671.400,34.731.970.888.228.800,-6.211.647.486.556.550,-1
6.365.720.064.037.800,-145.531.999.186.656,23.448.582.601.262.700,-40.275.614.495.363.200,1.516.973.333.678.720,999.810.156.029.491,16.281.126.625.491.400,-710.164.249.346.068,-21.821.294.238.404.800,25.469.843.836.916.000,1
1.613.618.313.085.030,-97.022.482.986.348,-3.330.708.813.510.490,31.894.175.117.423.100,15.508.052.100.589.800,-11.135.181.537.896.400,16.799.100.727.753.400,7.279.331.840.749.180,-31.304.468.722.393.100,-2.883.244.541.532.900,-1
-7.807.164.076.899.420,-5.926.080.989.823.720,2.001.146.952.403.790,-11.704.658.964.657.500,3.099.228.072.960.940,-22.872.215.621.159.500,602.791.807.333.384,-5.672.575.871.209.140,12.980.760.672.243.700,9.643.990.794.235.220,1
-19.399.309.982.962.200,1.153.682.776.913.260,-17.105.894.736.662.600,3.202.893.331.403.310,-4.394.779.396.531.100,6.267.751.933.225.390,-6.735.649.874.462.240,1.890.504.786.336.200,-15.974.624.081.608.100,-8.771.682.674.612.410,1
4.533.176.505.113.340,6.238.777.053.072.530,-14.767.676.184.282.100,-660.827.692.641.461,14.383.714.877.566.500,19.916.018.327.351.200,-862.610.041.884.909,4.461.129.404.149.590,9.567.161.725.539.210,12.098.672.759.949.400,1
645.046.743.433.822,-13.415.182.745.232.800,1.639.408.044.723.670,5.638.097.927.597.180,17.150.377.080.549.800,5.192.110.215.590.750,17.766.174.997.628.800,-5.418.512.391.183.010,-11.445.968.359.136.500,5.599.408.140.102.320,-1
-25.436.504.201.246.700,7.556.507.434.694.660,994.199.549.274.177,-49.852.930.860.057.200,-1.535.856.404.154.920,11.200.100.773.028.000,43.068.670.113.611.300,43.128.619.495.739.100,-18.418.062.668.670.600,4.546.725.482.023.290,1
12.455.058.538.461.600,20.598.707.916.296.000,459.675.598.814.442,1.120.538.463.350.750,-10.743.547.273.635.600,14.285.720.352.668.100,18.722.593.535.063.400,-11.086.361.396.919.200,-118.209.385.021.596,36.661.151.599.936.500,1
1.131.898.024.950.250,3.897.134.810.662.930,-36.636.890.161.198.000,-6.435.444.044.694.210,-7.899.322.882.197.530,7.602.692.019.450.960,8.612.847.545.763.990,20.926.182.908.555.900,-2.469.149.852.196.450,-12.801.623.473.167.900,-1
14.290.606.092.158.800,-12.317.959.087.485.100,-14.200.942.997.472.200,-13.179.492.519.467.200,17.128.931.406.674.200,-21.011.321.138.483.600,-679.028.011.158.679,-10.475.709.145.446.700,-15.640.910.937.458.000,2.830.989.513.937.340,1
-5.439.298.694.867.310,-8.810.661.985.761.760,11.883.376.454.022.600,10.051.455.019.293.800,-9.421.086.178.254.230,2.977.682.282.768.430,7.325.882.227.158.690,12.944.480.054.661.600,9.313.845.826.172.540,12.332.310.215.819.900,1
-1.253.440.454.006.130,17.968.731.388.186.300,-9.126.942.528.673.390,-6.176.811.701.409.350,-12.214.073.534.226.500,14.192.070.932.594.300,5.301.273.760.027.020,-5.103.222.138.640.490,-16.428.108.529.917.600,6.061.253.821.607.120,1
-9.470.079.704.727.180,49.591.388.728.623.800,15.398.252.783.869.100,-21.647.433.904.562.000,-36.525.965.247.347.400,9.728.739.389.674.840,1.472.752.550.255.760,8.883.890.946.849.790,1.243.985.543.600.230,-1.394.702.537.744.020,-1
-4.466.792.392.462.840,-5.898.808.783.566.850,1.561.083.391.392.140,8.029.693.809.711.910,6.228.689.099.716.740,-3.977.249.523.696.410,-4.589.702.226.122.980,-19.195.528.686.480.400,-8.399.652.950.769.800,8.016.923.312.109.840,-1
-10.576.893.829.993.700,-4.211.578.793.166.270,9.042.484.804.637.270,-20.655.601.792.095.700,723.737.917.750.298,-9.341.117.312.003.800,11.692.338.876.553.500,3.676.069.766.372.810,12.906.915.923.566.300,9.993.695.730.363.930,1
-2.006.100.699.364.640,21.188.134.760.889.100,-41.356.137.270.545.300,9.899.469.171.872.680,-17.471.747.405.260.200,24.262.815.138.519.000,2.976.114.610.806.890,-9.413.000.164.566.620,9.708.567.120.309.620,1.084.841.273.692.840,1
-21.153.105.792.523.100,15.788.229.488.801.100,11.664.438.483.775.900,-1.080.020.123.094.900,-34.806.120.857.943.900,3.012.027.786.161.730,19.914.948.057.699.800,6.428.667.802.272.170,1.435.755.398.328.410,-14.882.468.873.568.800,-1
-7.659.042.412.252.250,-8.582.148.867.335.490,6.648.756.077.204.890,-3.330.354.929.002.840,45.718.560.079.960.700,-10.027.255.819.562.500,-28.546.574.251.003.300,-4.043.815.198.573.630,-22.761.343.394.487.100,24.288.455.837.927.900,-1
-8.750.480.196.104.350,28.434.315.344.658.800,-6.174.732.584.774.690,-10.469.806.744.898.800,4.534.084.623.212.410,13.967.417.044.709.800,-5.224.960.226.509.500,39.386.593.096.733.500,962.335.292.626.586,11.383.725.846.526.800,1
1.048.520.683.745.600,-8.844.020.439.150.720,6.865.015.037.544.380,1.548.209.806.315.920,-23.548.447.495.907.200,21.388.174.643.686.300,-7.075.153.586.713.290,9.245.995.306.769.730,10.840.409.525.309.000,1.060.213.151.660.870,1
7.521.373.709.157.980,-1.082.310.768.925.420,514.951.565.793.821,8.958.208.815.009.210,-9.896.265.306.751.620,10.196.780.831.487.800,-4.705.215.627.537.130,-9.711.844.497.429.480,-19.262.491.989.077.500,-8.489.451.615.010.790,-1
-8.145.665.529.854.360,7.485.059.278.264.060,5.047.782.123.587.210,8.908.619.241.890.970,5.949.169.745.019.210,-18.758.166.285.208.100,7.170.398.063.474.770,-9.654.481.482.468.490,9.834.703.581.826.730,11.211.353.791.833.400,1
23.191.819.725.301.600,39.954.964.566.958.400,-19.310.949.334.013.600,5.498.000.340.567.560,-21.297.033.810.328.300,12.567.760.834.678.400,-12.537.210.720.712.500,3.799.800.346.089.580,-10.783.827.771.423.900,-6.784.023.792.289.580,-1
10.065.958.737.423.200,-12.291.009.794.409.800,9.179.477.245.667.680,9.339.947.390.535.580,-10.574.383.367.613.200,5.223.271.907.300.640,49.917.587.649.464.600,-9.068.746.154.258.040,1.157.626.105.149.530,-11.932.213.462.238.600,-1
-20.558.903.463.928.600,-8.649.332.743.140.720,-1.155.826.261.247.580,16.421.778.725.072.300,-18.022.367.045.471.600,-8.292.123.507.663.030,-7.913.666.831.701.060,578.828.021.971.055,-12.580.960.534.792.200,15.765.932.966.512.900,1
-13.150.234.339.988.900,-7.675.400.287.714.930,-9.948.396.181.722.520,13.866.554.278.478.000,-19.233.386.101.060.400,13.110.143.650.569.000,1.713.860.028.118.400,22.979.301.584.150.900,-24.469.421.996.980.700,-24.802.580.814.655.700,-1
4.367.734.722.683.220,7.625.801.923.466.700,-1.400.454.499.824.630,6.620.576.074.330.820,1.358.905.864.784.150,45.990.133.935.515.400,10.837.597.044.383.900,-13.097.551.928.335.500,7.664.055.987.570.250,-7.942.742.937.897.500,-1
-10.750.497.293.428.400,-1.323.259.788.966.650,-14.606.352.678.735.800,39.900.349.674.352.500,1.081.725.876.621.380,-5.692.663.008.566.630,-16.338.375.327.788.100,-28.120.910.221.804.300,11.224.451.541.220.200,-4.309.784.426.165.540,-1
6.507.084.587.950.810,2.483.119.423.464.430,-3.412.951.150.869.130,2.134.677.084.249.190,-27.017.523.906.206.900,-11.896.042.244.176.200,-8.454.979.874.739.410,-1.081.351.959.662.140,14.882.565.661.592.400,-19.896.716.630.991.000,-1
18.880.411.617.000.800,-11.289.322.470.635.400,-13.660.549.162.137.300,-8.779.380.445.513.440,7.028.249.559.306.560,10.836.457.175.780.300,-41.862.244.565.300.400,18.424.253.603.196.900,11.283.685.224.585.500,11.634.594.366.344.700,1
30.523.556.840.838.800,6.689.131.667.209.100,12.992.723.727.884.500,29.489.120.305.776.100,17.568.177.668.235.000,9.219.356.997.662.660,-42.909.125.309.809.600,-5.001.367.921.893.370,7.954.615.861.888.740,-15.298.488.803.774.800,-1
-5.619.373.435.708.010,49.247.140.545.091.600,-4.882.750.699.397.370,-15.230.510.754.210.800,-720.929.479.944.519,16.401.848.284.318.800,-2.837.465.912.943.960,-8.362.541.057.533.360,123.797.243.032.572,-8.541.604.430.350.860,-1
-8.486.526.969.970.970,22.459.197.303.812.800,9.710.638.153.550.260,-16.149.328.171.953.100,-5.400.955.456.568.260,-23.375.128.898.154.500,4.003.136.787.715.840,-3.235.946.250.485.260,1.191.857.856.330.800,968.538.962.264.519,1
-17.507.172.158.135.200,14.160.848.342.991.200,6.579.229.693.092.890,-16.469.075.884.165.900,-46.546.591.789.605.300,-9.648.597.103.810.510,2.049.174.407.009.900,-8.305.769.357.664.770,-13.493.719.159.361.400,-1.170.124.882.986.770,-1
-5.377.585.581.820.960,29.045.499.051.453.200,-725.603.550.400.088,10.268.876.950.530.600,-19.156.587.358.486.500,12.835.063.180.550.200,4.980.326.894.875.590,-37.494.227.695.512.100,14.172.537.771.200.700,6.850.476.139.371.290,1
-10.258.255.629.455.800,23.332.815.231.454.500,8.945.655.017.848.720,4.029.429.717.659.750,1.345.430.256.499.780,1.126.889.719.970.730,-10.559.858.001.698.800,-4.915.364.059.432.870,-11.644.710.707.352.800,-15.425.201.800.960.100,-1
9.370.360.197.111.980,8.068.275.107.439.790,21.574.005.029.580.800,-17.137.275.330.343.800,-3.099.146.193.620.750,-8.744.445.030.489.820,-19.057.878.377.743.300,-1.473.322.100.542.810,1.205.328.518.978.130,-7.324.627.945.371.360,-1
5.307.715.008.487.180,17.839.402.152.450.700,-45.622.851.864.507.000,8.366.380.734.325.900,-8.288.160.899.369.040,-10.216.332.446.958.900,18.700.520.911.060.300,-10.958.400.969.523.000,-14.641.142.248.708.700,-20.175.476.504.107.700,-1
-15.443.898.179.281.900,29.757.211.984.383.600,1.150.644.474.030.300,-9.108.923.081.031.640,-7.040.546.282.684.700,-63.467.079.871.991,24.414.282.249.349.000,11.102.956.919.213.100,9.519.336.152.932.080,11.083.860.014.808.200,1
18.010.193.155.336.500,-12.195.818.572.759.800,4.775.085.756.259.430,40.505.426.432.050.300,27.112.615.750.107.600,19.794.048.084.596.000,16.469.499.962.390.600,1.673.615.085.085.420,-7.341.471.315.548.450,9.957.982.652.699.710,1
5.771.842.333.421.190,7.642.673.314.415.220,-9.280.974.555.918.370,-3.707.163.068.374.460,-6.955.985.844.820.550,-31.981.796.640.192.300,22.775.281.664.812.700,-2.929.106.363.082.230,10.271.133.666.554.100,-5.943.514.636.993.800,-1
3.013.588.655.697.850,7.711.971.652.152.890,24.499.226.576.151.200,768.504.514.403.018,11.712.332.380.440.000,-44.125.469.822.743.200,-6.429.658.469.276.140,-3.321.303.844.961.390,14.878.166.215.547.400,9.753.212.774.758.910,1
721.235.935.768.452,5.809.748.844.919.820,-47.519.143.594.913.400,-37.720.410.237.908.100,-548.859.004.393.566,6.092.157.147.863.800,-4.411.554.520.126.810,-6.719.997.073.082.160,1.410.586.958.410.910,-4.647.016.471.092.400,-1
1.628.413.705.283.400,8.083.073.237.828.090,3.370.104.898.854.380,-365.349.303.533.328,-5.632.920.713.086.490,-24.722.829.817.656.400,7.899.511.811.989.800,19.446.058.221.023.100,-12.585.156.137.113.100,-10.110.879.915.122.100,-1
7.372.551.627.551.620,14.863.324.142.876.800,4.812.324.855.756.470,14.490.124.904.580.800,11.233.040.975.481.500,4.451.403.493.641.300,-15.626.229.220.955.300,2.187.273.453.036.790,2.690.542.868.473.070,-14.099.105.045.113.500,-1
-41.639.094.733.096.300,-12.549.555.443.732.500,9.347.735.834.369.420,19.981.749.385.972.300,-13.588.499.356.592.600,-11.987.395.309.320.600,289.759.035.640.186,-2.488.964.506.029.440,11.927.297.429.101.200,9.796.675.507.091.390,1
18.056.281.062.804.300,-12.910.093.557.538.600,-11.985.819.177.955.200,-2.029.708.841.367.560,-14.002.634.703.474.200,8.573.489.805.965.000,30.538.066.974.182.900,-9.732.410.442.278.170,-10.109.550.910.928.800,11.576.892.556.196.800,1
-16.227.370.945.913.400,21.481.321.286.260.600,5.675.950.669.143.220,8.409.947.420.684.400,28.308.343.716.014.700,-8.733.942.209.451.540,14.309.254.552.627.400,-938.375.633.108.058,11.794.786.420.665.400,-11.242.523.890.536.100,-1
11.002.979.138.090.300,12.388.759.193.648.400,13.537.591.262.233.300,9.218.720.833.971.660,18.554.251.923.479.200,8.108.091.331.615.580,1.012.063.768.638.140,-17.533.534.329.899.800,2.879.197.350.031.350,-996.494.152.436.797,-1
12.940.075.976.078.500,13.414.315.426.290.000,41.864.436.276.645.700,-12.772.347.566.315.800,3.670.222.637.666.970,-1.532.720.999.535.450,6.658.874.657.301.290,5.317.748.076.381.900,21.825.893.262.515.600,-17.304.960.902.059.700,-1
49.983.995.787.837.500,11.415.880.703.241.000,-6.103.937.712.703.950,983.121.224.069.002,-11.193.983.691.048.500,18.793.162.335.779.300,3.765.904.144.744.900,-2.804.429.080.291.760,14.462.563.331.428.700,7.186.487.472.698.300,1
1.161.442.349.702.630,-4.124.270.153.560.550,19.311.748.747.801.200,9.886.407.572.118.990,-6.401.760.944.014.210,8.504.673.037.696.780,2.011.488.937.198.040,5.753.380.022.038.830,7.655.877.192.884.200,1.380.691.961.184.360,1
-26.064.810.835.087.400,-45.992.125.248.901.300,-7.051.372.653.182.680,17.384.967.002.432.000,329.385.318.117.483,-9.296.772.852.632.160,-1.537.659.870.815.230,5.607.590.697.508.490,19.399.389.572.255.300,-13.596.797.729.757.300,-1
-18.024.482.104.406.600,1.802.930.730.578.230,5.911.823.416.774.480,4.254.541.505.119.380,-12.486.244.905.424.200,31.811.235.924.041.500,9.864.064.184.054.270,12.424.672.889.388.300,-11.349.997.638.029.800,11.381.191.373.864.400,1
-16.092.446.822.091.800,1.142.171.453.185.880,-14.973.263.150.746.500,14.901.390.956.502.300,-16.940.693.352.657.900,-9.870.267.049.898.540,-20.575.523.508.292.600,-6.023.854.935.483.360,13.937.846.218.771.200,-482.332.579.742.628,-1
-24.072.629.626.253.000,-14.567.759.202.026.000,-10.250.027.692.427.700,4.182.379.574.853.660,-12.336.014.455.353.300,-5.611.776.897.646.140,-2.293.866.492.005.850,1.827.012.261.046.240,-37.446.218.418.664.800,-16.888.254.605.640.100,-1
-18.542.425.400.438.300,-41.174.449.270.195.500,-12.100.658.590.135.000,3.840.459.264.890.120,35.737.181.329.538.500,-11.988.082.377.915.900,9.752.486.822.474.380,19.003.099.340.814.700,-20.616.545.312.049.100,-10.850.709.906.081.300,-1
6.315.779.103.574.550,48.508.235.112.781.200,15.130.481.096.256.500,12.268.200.359.143.800,-1.018.077.928.714.780,-3.198.198.337.947.130,12.627.088.750.556.100,-16.485.023.820.781.700,8.205.027.839.967.780,133.049.341.299.089,1
-8.026.503.314.169.620,-2.682.029.797.903.930,1.122.576.087.073.120,1.484.433.129.781.400,5.497.903.228.218.320,17.686.086.397.543.600,-26.445.741.390.967.900,-2.022.481.592.363.820,-14.907.536.544.378.500,704.612.810.457.999,-1
32.138.519.886.576.900,3.163.960.102.624.440,7.846.111.956.917.610,-19.712.736.065.876.900,-3.704.888.682.144.310,1.173.045.857.955.400,2.140.001.014.905.010,24.805.411.036.834.100,3.904.736.852.256.950,-12.662.040.231.929.800,-1
-13.369.859.046.391.200,-9.000.993.386.242.340,9.073.427.295.892.560,9.668.846.437.051.580,-6.579.550.502.902.550,-20.750.742.706.124.600,-40.773.711.087.426.000,-8.504.604.969.421.210,7.424.175.494.391.320,12.906.892.286.892.700,1
-4.697.793.120.626.050,-3.866.097.802.993.600,-8.955.749.871.508.290,-20.023.656.947.939.000,7.319.836.238.482.930,-30.697.635.427.509.000,-18.611.694.075.998.200,188.472.173.964.132,-10.402.292.858.197.800,-1.145.477.361.074.320,1
7.538.216.331.248.960,53.456.504.201.601.300,-26.107.581.511.687.100,-10.333.094.853.816.500,1.002.336.198.048.010,-11.896.781.462.719.200,-10.279.603.788.988.000,-42.922.532.892.451.000,872.537.942.919.906,13.194.986.583.388.800,1
-8.759.124.327.266.680,1.308.403.701.641.580,-2.403.100.016.286.430,-18.143.104.006.956.300,4.777.794.021.867.580,8.066.517.150.517.510,-7.386.250.847.168.030,-11.317.494.704.470.200,-6.922.328.891.841.780,-13.902.097.532.519.700,-1
-3.709.608.105.249.930,-14.800.376.573.430.600,9.898.491.034.003.930,-9.015.299.770.948.680,16.053.476.758.866.200,4.648.840.277.374.380,6.858.721.361.544.060,-17.071.300.435.185.900,-10.268.228.198.365.000,-2.376.148.710.830.650,-1
38.845.538.993.264.700,7.760.302.936.091.370,9.881.923.829.801.330,-417.463.181.770.706,1.788.708.880.377.490,1.887.882.877.392.970,-13.185.578.606.312.900,5.112.687.827.053.960,-17.424.711.821.803.600,-14.006.550.918.747.500,-1
-11.555.748.623.042.800,-6.965.207.230.588.310,744.699.113.521.967,-9.812.576.336.351.040,8.958.552.568.490.530,-19.035.700.883.600.900,-7.476.053.405.834.470,-3.567.734.571.558.820,9.603.214.873.006.800,-1.492.428.756.811.860,-1
6.904.252.205.212.090,-1.820.536.339.063.870,-4.865.913.653.507.000,-1.395.302.459.917.230,42.022.280.142.827.500,41.702.663.166.520.200,4.113.495.676.335.920,-870.391.252.206.604,8.878.567.115.650.550,13.242.025.440.139.700,1
-1.491.795.747.527.970,6.050.372.438.289.710,-26.526.741.114.512.100,-2.494.862.844.936.580,7.380.927.641.700.230,3.632.158.161.036.080,5.807.288.057.243.740,-44.097.191.889.330.700,-7.122.001.831.606.400,-2.320.772.244.930.710,-1
-3.495.746.295.688.940,-345.222.096.867.303,16.337.342.796.901.500,6.366.720.122.043.800,16.941.170.400.610.300,833.374.824.392.183,-8.857.584.906.350.860,-3.828.716.546.309.800,-16.509.567.107.690.600,-12.007.960.764.269.900,1
54.636.615.294.162.600,-2.840.995.399.615.230,46.033.945.054.959.700,-15.293.663.525.358.700,24.844.490.880.068.400,-19.694.648.821.679.700,-46.105.990.941.930.600,-16.112.344.170.381.900,9.855.986.200.468.360,12.761.824.025.357.600,1
-4.247.760.869.324.340,-1.127.222.960.719.390,-6.463.971.479.879.660,1.151.485.814.516.490,-13.107.817.224.582.800,10.905.650.891.824.100,-44.436.402.442.410.200,39.389.836.404.074.300,12.021.384.627.474.400,9.821.438.381.488.540,1
-34.554.836.356.087.200,21.026.632.259.026.600,8.239.621.345.944.570,-22.330.027.308.643.500,-47.884.559.510.483.600,526.799.247.568.435,9.582.710.605.041.050,-12.009.373.442.238.400,-17.771.911.376.612.600,18.883.073.835.438.800,1
-607.801.588.714.078,296.296.260.329.354,7.391.107.673.939.220,10.531.637.400.124.000,-8.006.343.551.917.610,-5.093.852.111.877.440,-19.127.531.488.545.200,19.600.861.403.074.000,-5.801.364.978.148.230,-12.117.095.016.017.000,-1
