x1,x2,label
8.759.078.931.582.750,45.311.244.000.871.500,-1
3.791.365.260.316.530,88.968.111.221.388,-1
-1.504.148.114.047.450,1.818.904.067.426.350,1
-7.570.824.644.543.750,-7.178.668.695.979.190,-1
8.262.501.705.474.390,-16.882.477.261.481.000,1
9.698.255.055.364.520,-46.479.768.506.022.900,-1
-75.131.731.986.913,24.508.783.923.672.000,1
10.195.395.777.631.000,-19.845.653.574.911.800,-1
6.592.268.035.144.480,-10.105.036.240.511.200,1
-4.105.027.599.623.340,2.191.018.668.839.750,1
-2.015.333.317.189.220,-26.818.238.355.007.100,1
-13.654.110.812.182.600,-4.944.745.052.615.000,1
-3.514.640.592.109.150,-9.070.446.879.975.420,-1
1.681.442.998.319.020,-9.648.970.930.665.710,1
1.277.617.583.498.760,-18.528.952.540.836.000,1
6.583.830.272.637.650,802.520.909.439.458,-1
22.995.102.961.803.500,-1.696.606.728.453.090,1
-8.806.867.481.985.180,10.309.625.988.301.300,1
15.938.326.911.633.600,8.974.896.789.962.420,1
-7.362.211.236.153.560,-9.462.854.680.438.000,1
9.907.987.131.311.600,-2.168.273.071.308.810,-1
-9.590.856.726.990.070,7.728.644.291.980.740,-1
-37.673.354.836.409.100,-11.567.773.117.722.400,1
12.478.345.724.399.600,-14.236.779.688.533,1
-15.711.659.549.178.900,-53.180.057.537.871.400,1
1.356.045.316.715.710,14.287.129.322.914.300,1
-11.716.239.344.533.300,-8.766.435.336.786.750,1
17.910.399.712.778.100,-35.424.589.122.332.500,1
4.853.994.635.887.450,8.235.795.568.838.930,-1
8.783.261.510.205.070,-20.229.354.145.530.900,-1
-21.067.711.027.587.100,9.215.897.326.270.400,-1
9.117.571.874.651.660,2.303.586.856.200.390,-1
-419.276.136.177.956,922.111.508.701.226,-1
-49.002.576.351.570.000,-10.488.627.612.486.500,-1
-873.185.715.004.289,-14.084.497.869.715.100,1
6.432.303.303.491.180,7.352.886.825.674.350,-1
15.488.225.329.606.400,-14.071.614.688.040.900,1
-9.759.989.482.125.190,11.824.449.272.976.600,-1
2.009.426.494.035.980,-7.273.995.221.613.520,1
8.088.788.954.370.890,13.777.974.468.564.900,1
1.646.515.976.940.660,9.892.066.064.802.490,-1
-7.184.130.657.396.880,17.919.345.676.639.100,1
6.534.258.144.879.530,14.899.177.898.390.100,1
13.764.134.013.527.000,-8.561.814.357.375.290,-1
13.782.219.033.904.300,7.986.557.020.290.140,1
6.228.638.344.525.080,-5.115.843.920.252.360,1
8.573.417.406.117.080,-1.114.383.728.562.330,1
-9.602.098.227.130.740,37.526.080.771.079.500,-1
8.071.465.863.616.670,6.169.097.530.345.730,-1
10.278.872.980.707.000,5.020.059.476.961.500,1
3.542.271.376.521.970,9.433.926.989.017.100,-1
-5.343.245.144.974.680,8.011.070.057.937.450,-1
-13.199.374.498.610.300,-21.969.932.563.585.600,1
-3.916.534.967.529.080,1.039.235.279.369.820,-1
12.840.155.513.202.800,3.871.382.928.574.130,1
-476.037.567.544,-8.787.413.845.270.590,-1
-49.653.927.705.027.800,-16.854.814.283.787.900,1
-8.988.714.867.092.540,1.712.187.595.912.620,-1
-839.687.490.551.991,7.050.478.940.904.000,-1
-8.285.733.585.076.410,6.643.056.042.227.340,-1
-8.662.507.579.617.040,-30.587.571.545.269.000,-1
11.067.742.110.503.500,-11.206.036.608.967.700,-1
-8.027.389.999.563.310,-5.046.555.356.239.910,-1
-9.912.611.123.330.250,-1.005.850.528.175.800,1
-6.033.223.101.383.900,8.688.814.187.767.190,-1
-2.880.334.125.907.170,997.243.350.468.752,-1
8.606.550.170.858.340,5.748.003.501.123.960,-1
-10.679.448.534.407.000,990.880.832.884.313,1
11.525.297.821.661.100,-12.018.629.866.577.900,1
